epoch,accuracy,loss,val_accuracy,val_loss
0,0.40268436074256897,2.1360554695129395,0.8147156238555908,0.7696927189826965
1,0.7320432066917419,0.8417016267776489,0.9345830082893372,0.3188551068305969
2,0.8346032500267029,0.5240190625190735,0.9656975269317627,0.18200719356536865
3,0.8737207651138306,0.3930489122867584,0.9764090776443481,0.11806987226009369
4,0.8943475484848022,0.3320558965206146,0.9771741628646851,0.0973406732082367
5,0.9121688604354858,0.27968770265579224,0.9841877222061157,0.08081576973199844
6,0.9237734079360962,0.24188357591629028,0.9886508584022522,0.06906961649656296
7,0.9333375692367554,0.2135314643383026,0.9892884492874146,0.049579937011003494
8,0.9389804601669312,0.19510896503925323,0.989670991897583,0.05036380887031555
9,0.9431568384170532,0.17737318575382233,0.9901810884475708,0.04597257822751999
10,0.9457710385322571,0.16730159521102905,0.9922213554382324,0.040212105959653854
11,0.9510313272476196,0.15440228581428528,0.9915837645530701,0.03747408464550972
12,0.9519240260124207,0.14743222296237946,0.9946442246437073,0.031594689935445786
13,0.9534542560577393,0.14579127728939056,0.9928589463233948,0.03347260132431984
14,0.9599578976631165,0.12814752757549286,0.9940066337585449,0.030695900321006775
15,0.9619026184082031,0.1196284294128418,0.9942616820335388,0.02993541769683361
16,0.9645487070083618,0.10976272821426392,0.9945167303085327,0.02676546946167946
17,0.9641980528831482,0.11147798597812653,0.9946442246437073,0.026150783523917198
18,0.9670354127883911,0.09968473762273788,0.9940066337585449,0.025426644831895828
19,0.9674180150032043,0.1024717390537262,0.9948992729187012,0.026333561167120934
0,0.4073389172554016,2.116253137588501,0.8309105038642883,0.7467896342277527
1,0.7487805485725403,0.7933182716369629,0.939173698425293,0.29367321729660034
2,0.8382057547569275,0.508945882320404,0.9662076234817505,0.1597931683063507
3,0.8799694180488586,0.3808159828186035,0.9797245860099792,0.11209756135940552
4,0.8986833095550537,0.31920430064201355,0.9799795746803284,0.09209950268268585
5,0.9178754687309265,0.25917500257492065,0.9882683157920837,0.07391905784606934
6,0.9238690137863159,0.23774117231369019,0.9885233640670776,0.05891776829957962
7,0.9345171451568604,0.20812278985977173,0.9909461736679077,0.053232114762067795
8,0.9401600360870361,0.1878107190132141,0.9906911253929138,0.04786074534058571
9,0.9457072615623474,0.1682140976190567,0.991838812828064,0.0406176820397377
10,0.9471099972724915,0.16259492933750153,0.9931139945983887,0.033929336816072464
11,0.9546019434928894,0.14574790000915527,0.9924764037132263,0.03400786966085434
12,0.9570886492729187,0.13436974585056305,0.9938791394233704,0.03206907957792282
13,0.9581407308578491,0.13171738386154175,0.993751585483551,0.03226490318775177
14,0.9612969160079956,0.12294196337461472,0.9945167303085327,0.028113577514886856
15,0.9615838527679443,0.1199713870882988,0.993751585483551,0.03275603801012039
16,0.9652182459831238,0.10897159576416016,0.9954093098640442,0.027989493682980537
17,0.9662383794784546,0.10663663595914841,0.9945167303085327,0.026425015181303024
18,0.9690757989883423,0.0987701565027237,0.9942616820335388,0.02393180876970291
19,0.969649612903595,0.09519793093204498,0.9957919120788574,0.02153712883591652
0,0.42280104756355286,2.0613460540771484,0.8306554555892944,0.6934449672698975
1,0.757675290107727,0.7670593857765198,0.9440193772315979,0.2828960120677948
2,0.8502247333526611,0.4755404591560364,0.966335117816925,0.15914694964885712
3,0.8880351781845093,0.3542987108230591,0.9773017168045044,0.11416681855916977
4,0.9097459316253662,0.2874200642108917,0.9824024438858032,0.082537941634655
5,0.9258775115013123,0.23674260079860687,0.987503170967102,0.07445686310529709
6,0.9342302680015564,0.20932579040527344,0.9886508584022522,0.05607650429010391
7,0.9403513073921204,0.18474480509757996,0.9895434975624084,0.050365105271339417
8,0.9463767409324646,0.168255016207695,0.991073727607727,0.04140390083193779
9,0.9500749111175537,0.1582586020231247,0.9915837645530701,0.04133414104580879
